Frequency,Amplitude
615.5,0.00205612
616,0.00211808
616.5,0.00238558
617,0.00102106
617.5,0.00330118
618,0.00493549
618.5,0.000791104
619,0.00116183
619.5,0.00355402
620,0.00348301
620.5,0.00108384
621,0.00194169
621.5,0.000415099
622,0.00162785
622.5,0.0020334
623,0.00469521
623.5,0.0031726
624,0.000959017
624.5,0.00264766
625,0.000443229
625.5,0.00233682
626,0.00169733
626.5,0.00415921
627,0.00548127
627.5,0.00112149
628,0.00183028
628.5,0.0031734
629,0.00426595
629.5,0.00224537
630,0.00463268
630.5,0.00514269
631,0.00353387
631.5,0.00130256
632,0.00355571
632.5,0.00530964
633,0.00212617
633.5,0.00398651
634,0.00376948
634.5,0.000761787
635,0.00224492
635.5,0.00188799
636,0.00323414
636.5,0.00393818
637,0.00451907
637.5,0.00212395
638,0.00156692
638.5,0.0017732
639,0.00188583
639.5,0.00133582
640,0.00334508
640.5,0.00291145
641,0.00388635
641.5,0.00570037
642,0.00235985
642.5,0.000688244
643,0.00149104
643.5,0.00126634
644,0.00169386
644.5,0.00201328
645,0.00103309
645.5,0.000926662
646,0.00101693
646.5,0.000472485
647,0.00255577
647.5,0.00210338
648,0.00275321
648.5,0.00094189
649,0.000836982
649.5,0.00137743
650,0.000487817
650.5,0.00280913
651,0.000978381
651.5,0.00122359
652,0.00508817
652.5,0.00217046
653,0.002626
653.5,0.00143439
654,0.00277289
654.5,0.00208814
655,0.000268664
655.5,0.00111633
656,0.00228316
656.5,0.000300579
657,0.00105299
657.5,0.00226311
658,0.00153488
658.5,0.00067357
659,0.000941413
659.5,0.00118446
660,0.000746907
660.5,0.00224438
661,0.00269539
661.5,0.00161493
662,0.0014174
662.5,0.00443966
663,0.00069522
663.5,0.00599726
664,0.0011531
664.5,0.00169448
665,0.00177906
665.5,0.00212548
666,0.000585819
666.5,0.000821924
667,0.00135074
667.5,0.000213607
668,0.00124021
668.5,0.000757932
669,0.00205393
669.5,0.00397597
670,0.00214409
670.5,0.000930509
671,0.00174472
671.5,0.00289933
672,0.000489492
672.5,0.00305076
673,0.00283822
673.5,0.000616394
674,0.00568325
674.5,0.00309743
675,0.00527843
675.5,0.00146896
676,0.000724013
676.5,0.00385017
677,0.00222137
677.5,0.00243057
678,0.00259642
678.5,0.00359269
679,0.00131045
679.5,0.00101223
680,0.00514669
680.5,0.000857927
681,0.0040135
681.5,0.00334408
682,0.00171125
682.5,0.00749805
683,0.0022057
683.5,0.00535316
684,0.00394706
684.5,0.00423327
685,0.00442103
685.5,0.00184573
686,0.00230345
686.5,0.00264849
687,0.00371392
687.5,0.00194409
688,0.00323542
688.5,0.0019143
689,0.00135111
689.5,0.00361657
690,0.00114608
690.5,0.00367188
691,0.00328514
691.5,0.00323609
692,0.0038943
692.5,0.00176776
693,0.00305075
693.5,0.00208376
694,0.00490854
694.5,0.00571139
695,0.00355611
695.5,0.00325881
696,0.00647218
696.5,0.00751334
697,0.00689821
697.5,0.00400484
698,0.00487508
698.5,0.0034426
699,0.00254204
699.5,0.00629209
700,0.00185747
700.5,0.00314653
701,0.00429775
701.5,0.00174817
702,0.00462046
702.5,0.00480723
703,0.00727743
703.5,0.00665873
704,0.00837139
704.5,0.00532589
705,0.0121004
705.5,0.00698129
706,0.00601113
706.5,0.00995304
707,0.00516192
707.5,0.00995903
708,0.00270883
708.5,0.00561722
709,0.000354621
709.5,0.00527081
710,0.00591093
710.5,0.00448777
711,0.00380552
711.5,0.000519647
712,0.00230916
712.5,0.00207233
713,0.00333253
713.5,0.00566785
714,0.00447011
714.5,0.00373454
715,0.000587269
715.5,0.00270563
716,0.00369822
716.5,0.00353316
717,0.000952502
717.5,0.0039355
718,0.00119208
718.5,0.00135989
719,0.00680375
719.5,0.00346405
720,0.00120531
720.5,0.00272994
721,0.00141397
721.5,0.00311834
722,0.000560822
722.5,0.00228517
723,0.00150103
723.5,0.00105612
724,0.00222559
724.5,0.00328941
725,0.0021493
725.5,0.000559665
726,0.00402828
726.5,0.00377356
727,0.00183247
727.5,0.000415265
728,0.00171919
728.5,0.00469874
729,0.00226652
729.5,0.00479402
730,0.00195293
730.5,0.00227918
731,0.00470053
731.5,0.00152079
732,0.00448319
732.5,0.00181106
733,0.00240685
733.5,0.00196227
734,0.000808444
734.5,0.00421008
735,0.00366655
735.5,0.00351507
736,0.003044
736.5,0.000195495
737,0.00312021
737.5,0.00164899
738,0.00160364
738.5,0.0020932
739,0.00169315
